gid,request,reason,node_priority
100000008731444100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 441 тыс ₸ больше, чем получил в выборке",0.6805
100000007442518100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 3,91 млн ₸ больше, чем получил в выборке",0.6792
100000008137435100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,33 млн ₸ больше, чем получил в выборке",0.6782
100000006707582100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 922 тыс ₸ больше, чем получил в выборке",0.6775
100000008460102100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 459 тыс ₸ больше, чем получил в выборке",0.6771
100000008193577100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 326 тыс ₸ больше, чем получил в выборке",0.6715
100000000332284100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 182 тыс ₸ больше, чем получил в выборке",0.6694
100000001965374100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,32 млн ₸ больше, чем получил в выборке",0.6693
100000004160650100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,41 млн ₸ больше, чем получил в выборке",0.6692
100000008389800100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 213 тыс ₸ больше, чем получил в выборке",0.6672
100000002217161100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 590 тыс ₸ больше, чем получил в выборке",0.666
100000004150593100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 814 тыс ₸ больше, чем получил в выборке",0.6652
100000008603331100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 702 тыс ₸ больше, чем получил в выборке",0.6647
100000003589877100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 240 тыс ₸ больше, чем получил в выборке",0.6647
100000002723538100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 455 тыс ₸ больше, чем получил в выборке",0.6617
100000008465789100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,83 млн ₸ больше, чем получил в выборке",0.6617
100000005242320100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 8,57 млн ₸ больше, чем получил в выборке",0.6613
100000004140487100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 238 тыс ₸ больше, чем получил в выборке",0.6599
100000006579678100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,48 млн ₸ больше, чем получил в выборке",0.6594
100000004527381100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 155 тыс ₸ больше, чем получил в выборке",0.6578
100000008517538100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,28 млн ₸ больше, чем получил в выборке",0.6576
100000004077081100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 475 тыс ₸ больше, чем получил в выборке",0.6544
100000005074393100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 122 тыс ₸ больше, чем получил в выборке",0.651
100000003366154100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 164 тыс ₸ больше, чем получил в выборке",0.6493
100000004041163100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 816 тыс ₸ больше, чем получил в выборке",0.6487
100000000267734100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 102 тыс ₸ больше, чем получил в выборке",0.6475
100000008172352100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 199 тыс ₸ больше, чем получил в выборке",0.6448
100000008545727100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,84 млн ₸ больше, чем получил в выборке",0.6447
100000001380054100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 233 тыс ₸ больше, чем получил в выборке",0.644
100000002152857100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,12 млн ₸ больше, чем получил в выборке",0.6436
100000000274067100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,45 млн ₸ больше, чем получил в выборке",0.6418
100000008121806100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 182 тыс ₸ больше, чем получил в выборке",0.6384
100000002267998100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 695 тыс ₸ больше, чем получил в выборке",0.6384
100000002733905100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 618 тыс ₸ больше, чем получил в выборке",0.638
100000004670388100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 560 тыс ₸ больше, чем получил в выборке",0.6369
100000008213966100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 250 тыс ₸ больше, чем получил в выборке",0.6344
100000002175422100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,55 млн ₸ больше, чем получил в выборке",0.6316
100000007864477100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 128 тыс ₸ больше, чем получил в выборке",0.6266
100000004717647100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,94 млн ₸ больше, чем получил в выборке",0.6265
100000003854444100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,11 млн ₸ больше, чем получил в выборке",0.6258
100000004480280100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 149 тыс ₸ больше, чем получил в выборке",0.6251
100000003016438100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 100 тыс ₸ больше, чем получил в выборке",0.6242
100000003213473100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 182 тыс ₸ больше, чем получил в выборке",0.6238
100000007382543100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 209 тыс ₸ больше, чем получил в выборке",0.6228
100000008710843100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,95 млн ₸ больше, чем получил в выборке",0.6217
100000005527892100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 332 тыс ₸ больше, чем получил в выборке",0.6211
100000002032323100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 750 тыс ₸ больше, чем получил в выборке",0.6175
100000008743913100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,70 млн ₸ больше, чем получил в выборке",0.6174
100000001677929100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 159 тыс ₸ больше, чем получил в выборке",0.6171
100000004906181100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,37 млн ₸ больше, чем получил в выборке",0.6143
100000004398811100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 615 тыс ₸ больше, чем получил в выборке",0.6135
100000008742053100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,78 млн ₸ больше, чем получил в выборке",0.6127
100000003457710100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 979 тыс ₸ больше, чем получил в выборке",0.6119
100000008512827100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,84 млн ₸ больше, чем получил в выборке",0.6056
100000008430691100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 585 тыс ₸ больше, чем получил в выборке",0.6032
100000003528285100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 429 тыс ₸ больше, чем получил в выборке",0.6014
100000004715209100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 345 тыс ₸ больше, чем получил в выборке",0.5999
100000004677680100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 105 тыс ₸ больше, чем получил в выборке",0.5997
100000008722417100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 388 тыс ₸ больше, чем получил в выборке",0.5991
100000008752616100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,20 млн ₸ больше, чем получил в выборке",0.5991
100000001303311100,Операции за август 2026,"основные поступления 30–31 июля (1,32 млн ₸), продолжение не видно",0.5961
100000008746449100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 999 тыс ₸ больше, чем получил в выборке",0.596
100000008188026100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 252 тыс ₸ больше, чем получил в выборке",0.5958
100000002748180100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 670 тыс ₸ больше, чем получил в выборке",0.5954
100000008258458100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,54 млн ₸ больше, чем получил в выборке",0.5952
100000008758168100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,46 млн ₸ больше, чем получил в выборке",0.5947
100000004209339100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 100 тыс ₸ больше, чем получил в выборке",0.5945
100000001526235100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 351 тыс ₸ больше, чем получил в выборке",0.5935
100000004017410100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,14 млн ₸ больше, чем получил в выборке",0.5933
100000003154105100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 278 тыс ₸ больше, чем получил в выборке",0.593
100000006240939100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 618 тыс ₸ больше, чем получил в выборке",0.5921
100000001788284100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 289 тыс ₸ больше, чем получил в выборке",0.592
100000001637376100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 118 тыс ₸ больше, чем получил в выборке",0.5919
100000008587459100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 505 тыс ₸ больше, чем получил в выборке",0.5902
100000005357705100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 334 тыс ₸ больше, чем получил в выборке",0.5872
100000002306369100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 188 тыс ₸ больше, чем получил в выборке",0.5869
100000007898453100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 295 тыс ₸ больше, чем получил в выборке",0.5863
100000000580561100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,46 млн ₸ больше, чем получил в выборке",0.586
100000005140601100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 143 тыс ₸ больше, чем получил в выборке",0.5836
100000001162560100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,57 млн ₸ больше, чем получил в выборке",0.5808
100000000413678100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 222 тыс ₸ больше, чем получил в выборке",0.5783
100000008647905100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 294 тыс ₸ больше, чем получил в выборке",0.5766
100000006977207100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 3,74 млн ₸ больше, чем получил в выборке",0.5765
100000002963189100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 4,73 млн ₸ больше, чем получил в выборке",0.5761
100000008490127100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 491 тыс ₸ больше, чем получил в выборке",0.5759
100000008003034100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 123 тыс ₸ больше, чем получил в выборке",0.5755
100000001287955100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 292 тыс ₸ больше, чем получил в выборке",0.5737
100000000583220100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 756 тыс ₸ больше, чем получил в выборке",0.5734
100000003001661100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 330 тыс ₸ больше, чем получил в выборке",0.5725
100000002205022100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 511 тыс ₸ больше, чем получил в выборке",0.5723
100000001893287100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 135 тыс ₸ больше, чем получил в выборке",0.5719
100000004722765100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,05 млн ₸ больше, чем получил в выборке",0.5682
100000008632060100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 333 тыс ₸ больше, чем получил в выборке",0.5663
100000008571433100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,08 млн ₸ больше, чем получил в выборке",0.5655
100000005665181100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 136 тыс ₸ больше, чем получил в выборке",0.5655
100000000913911100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 133 тыс ₸ больше, чем получил в выборке",0.5653
100000002748532100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 291 тыс ₸ больше, чем получил в выборке",0.5631
100000005316708100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 168 тыс ₸ больше, чем получил в выборке",0.5628
100000003616818100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 162 тыс ₸ больше, чем получил в выборке",0.5626
100000003159641100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 134 тыс ₸ больше, чем получил в выборке",0.5622
100000008659445100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 737 тыс ₸ больше, чем получил в выборке",0.5613
100000008628231100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 578 тыс ₸ больше, чем получил в выборке",0.5603
100000004420041100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 582 тыс ₸ больше, чем получил в выборке",0.5597
100000003190207100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 372 тыс ₸ больше, чем получил в выборке",0.5551
100000007593823100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 138 тыс ₸ больше, чем получил в выборке",0.5512
100000006169033100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,09 млн ₸ больше, чем получил в выборке",0.5508
100000002481974100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 229 тыс ₸ больше, чем получил в выборке",0.5499
100000005634552100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,17 млн ₸ больше, чем получил в выборке",0.5476
100000005075949100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 2,23 млн ₸, p_forward=0.57",0.5475
100000008625905100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 437 тыс ₸ больше, чем получил в выборке",0.5474
100000003917461100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 130 тыс ₸ больше, чем получил в выборке",0.5457
100000004508696100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 104 тыс ₸ больше, чем получил в выборке",0.5444
100000002622822100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 750 тыс ₸, p_forward=0.26",0.5438
100000005664922100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 515 тыс ₸ больше, чем получил в выборке",0.5434
100000008531133100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 133 тыс ₸ больше, чем получил в выборке",0.5433
100000002773323100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 887 тыс ₸ больше, чем получил в выборке",0.5429
100000000640800100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 438 тыс ₸ больше, чем получил в выборке",0.5412
100000002241986100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 2,80 млн ₸ больше, чем получил в выборке",0.5411
100000003835149100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 4,35 млн ₸ больше, чем получил в выборке",0.5411
100000005048668100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 143 тыс ₸ больше, чем получил в выборке",0.537
100000008601794100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 377 тыс ₸ больше, чем получил в выборке",0.5349
100000003968044100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 271 тыс ₸ больше, чем получил в выборке",0.5346
100000008761219100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 325 тыс ₸ больше, чем получил в выборке",0.5345
100000007392365100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,76 млн ₸ больше, чем получил в выборке",0.5326
100000004183610100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 893 тыс ₸ больше, чем получил в выборке",0.5314
100000008713270100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 160 тыс ₸ больше, чем получил в выборке",0.5313
100000003873332100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 263 тыс ₸ больше, чем получил в выборке",0.5311
100000005767403100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,10 млн ₸, p_forward=0.40",0.5296
100000008721637100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 103 тыс ₸ больше, чем получил в выборке",0.5295
100000001052945100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,54 млн ₸ больше, чем получил в выборке",0.5258
100000001317336100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 1,62 млн ₸ больше, чем получил в выборке",0.5253
100000005031696100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 110 тыс ₸ больше, чем получил в выборке",0.5202
100000000490383100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 399 тыс ₸ больше, чем получил в выборке",0.5198
100000003977183100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 642 тыс ₸ больше, чем получил в выборке",0.5181
100000001669260100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 500 тыс ₸, p_forward=0.26",0.5177
100000002671326100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,05 млн ₸, p_forward=0.40",0.5163
100000008293431100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 282 тыс ₸ больше, чем получил в выборке",0.5156
100000007330432100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 585 тыс ₸, p_forward=0.26",0.5149
100000002126791100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,31 млн ₸, p_forward=0.40",0.5141
100000002884708100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,17 млн ₸, p_forward=0.40",0.5119
100000008175078100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,85 млн ₸, p_forward=0.57",0.5115
100000005547096100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 218 тыс ₸ больше, чем получил в выборке",0.5111
100000001053894100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 2,00 млн ₸, p_forward=0.57",0.5108
100000005042822100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,00 млн ₸, p_forward=0.26",0.5101
100000000733451100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 230 тыс ₸ больше, чем получил в выборке",0.5096
100000003718715100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 915 тыс ₸, p_forward=0.40",0.5092
100000001131403100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,57 млн ₸, p_forward=0.40",0.5087
100000000375150100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 300 тыс ₸, p_forward=0.26",0.508
100000003220685100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,31 млн ₸, p_forward=0.40",0.5051
100000003321895100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 530 тыс ₸ больше, чем получил в выборке",0.503
100000001065234100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 360 тыс ₸, p_forward=0.26",0.5002
100000002956769100,Операции за август 2026,"основные поступления 30–31 июля (840 тыс ₸), продолжение не видно",0.4989
100000003989033100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 373 тыс ₸, p_forward=0.57",0.4989
100000001222245100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 420 тыс ₸, p_forward=0.57",0.4967
100000004737764100,Операции за август 2026,"основные поступления 30–31 июля (600 тыс ₸), продолжение не видно",0.4966
100000004586598100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 761 тыс ₸, p_forward=0.40",0.4964
100000007841978100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 449 тыс ₸, p_forward=0.26",0.4958
100000008759857100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 989 тыс ₸ больше, чем получил в выборке",0.4939
100000005616568100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 530 тыс ₸, p_forward=0.26",0.4938
100000002686226100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 430 тыс ₸, p_forward=0.40",0.4937
100000002793881100,Операции за август 2026,"основные поступления 30–31 июля (786 тыс ₸), продолжение не видно",0.4934
100000002594214100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,00 млн ₸, p_forward=0.26",0.4931
100000004644615100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 329 тыс ₸ больше, чем получил в выборке",0.4931
100000003001564100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 156 тыс ₸ больше, чем получил в выборке",0.4918
100000001471706100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 377 тыс ₸, p_forward=0.57",0.4895
100000008517061100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,84 млн ₸, p_forward=0.40",0.4893
100000002922000100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 448 тыс ₸, p_forward=0.26",0.4891
100000006232815100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 136 тыс ₸ больше, чем получил в выборке",0.4884
100000004035925100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 1,11 млн ₸, p_forward=0.40",0.4883
100000002513028100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 323 тыс ₸ больше, чем получил в выборке",0.4869
100000007472293100,Входящие переводы от клиентов вне выборки / других банков,"отправил на 341 тыс ₸ больше, чем получил в выборке",0.4859
100000001311175100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 300 тыс ₸, p_forward=0.26",0.485
100000008469048100,Выписка исходящих за июль–август,"4-е колено: исходящие не выгружены; получил 265 тыс ₸, p_forward=0.57",0.4834
