rank,gid,role,priority_score,why,role_score,is_seed,new_lead,cluster_id,evidence
17,100000005382566100,consolidator,0.7703,"Консолидатор (уверенность 1.00; R3: in_deg=7≥4). Получает от 7 плательщиков: 393 тыс ₸, 11 переводов (в среднем 36 тыс ₸); seed среди плательщиков: 6; дальше ушло 13% полученного 1 получателю. Сигналы: участвует в возвратном потоке (цикле). Приоритет 0.770 = роль 0.283 + оборот 0.189 + центральность 0.178 + связь с seed 0.090 + сигналы 0.030 (×0,9: уже известный seed). Кластер 33: Признаки управляющего ядра: координатор …811100 (от 1 плательщиков, 3 получателей, 96 тыс ₸); признаки консолидации: …566100 собирает от 7 плательщиков (393 тыс ₸), в кластере 14 seed.",1.0,True,False,33,"Получает от 7 плательщиков: 393 тыс ₸, 11 переводов (в среднем 36 тыс ₸); seed среди плательщиков: 6; дальше ушло 13% полученного 1 получателю"
18,100000004135268100,transit,0.7696,"Транзит (уверенность 0.94; R4: out/in=0.81∈[0.8;1.2]). Получил 1,24 млн ₸ от 2 плательщиков (3 перевода), отправил 1,00 млн ₸ 3 получателям (4 перевода); дальше ушло 81%; 69% полученного ушло за ≤2 дн; seed среди плательщиков: 1. Сигналы: участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C. Приоритет 0.770 = роль 0.197 + оборот 0.244 + центральность 0.196 + связь с seed 0.067 + сигналы 0.067. Кластер 29: Изолированный фрагмент (нет связи с основной сетью). Транзитная цепочка: 60% узлов пропускают деньги дальше — возможен прогон для разрыва следа.",0.937,False,True,29,"Получил 1,24 млн ₸ от 2 плательщиков (3 перевода), отправил 1,00 млн ₸ 3 получателям (4 перевода); дальше ушло 81%; 69% полученного ушло за ≤2 дн; seed среди плательщиков: 1"
19,100000006866783100,coordinator,0.769,"Координатор (уверенность 0.88; R1 мост: посредничество 0.0060 (топ-1%), кластеров с seed=7). Мост между 7 кластерами с seed (посредничество в топ-1%); получил 839 тыс ₸ от 13 плательщиков (31 перевод), отправил 3,95 млн ₸ 67 получателям (90 переводов). Сигналы: сквозной транзит ≤2 дн; синхронные поступления от нескольких плательщиков в один день; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; повторяющиеся одинаковые суммы. Приоритет 0.769 = роль 0.276 + оборот 0.224 + центральность 0.180 + связь с seed 0.000 + сигналы 0.090 (×0,9: уже известный seed). Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.875,True,False,1,"Мост между 7 кластерами с seed (посредничество в топ-1%); получил 839 тыс ₸ от 13 плательщиков (31 перевод), отправил 3,95 млн ₸ 67 получателям (90 переводов)"
20,100000000437046100,coordinator,0.7666,"Координатор (уверенность 0.62; R1 мост: посредничество 0.0022 (топ-1%), кластеров с seed=5). Мост между 5 кластерами с seed (посредничество в топ-1%); получил 1,11 млн ₸ от 9 плательщиков (20 переводов), отправил 7,61 млн ₸ 42 получателям (73 перевода). Сигналы: сквозной транзит ≤2 дн; синхронные поступления от нескольких плательщиков в один день; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; повторяющиеся одинаковые суммы; аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.767 = роль 0.219 + оборот 0.249 + центральность 0.198 + связь с seed 0.000 + сигналы 0.100. Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.625,False,True,1,"Мост между 5 кластерами с seed (посредничество в топ-1%); получил 1,11 млн ₸ от 9 плательщиков (20 переводов), отправил 7,61 млн ₸ 42 получателям (73 перевода)"
21,100000008733194100,coordinator,0.7656,"Координатор (уверенность 0.67; R1 платит seed: seed-получателей=4≥3). Платит 4 известным участникам (seed); получил 251 тыс ₸ от 4 плательщиков (4 перевода), отправил 160 тыс ₸ 8 получателям (8 переводов). Сигналы: участвует в возвратном потоке (цикле). Приоритет 0.766 = роль 0.233 + оборот 0.207 + центральность 0.191 + связь с seed 0.100 + сигналы 0.033. Кластер 21: Признаки управляющего ядра: координатор …837100 (от 9 плательщиков, 25 получателей, 1,51 млн ₸); признаки консолидации: …393100 собирает от 4 плательщиков (563 тыс ₸), в кластере 5 seed.",0.667,False,True,21,"Платит 4 известным участникам (seed); получил 251 тыс ₸ от 4 плательщиков (4 перевода), отправил 160 тыс ₸ 8 получателям (8 переводов)"
22,100000004156082100,distributor,0.7618,"Распределитель (уверенность 0.66; R2: out_deg=26≥10 и ≥3×in_deg). Веерная раздача: 2,32 млн ₸ 26 получателям (29 переводов, в среднем 80 тыс ₸); получил 377 тыс ₸ от 5 плательщиков; 7 получателей за один день (31.07). Сигналы: сквозной транзит ≤2 дн; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.762 = роль 0.185 + оборот 0.245 + центральность 0.198 + связь с seed 0.033 + сигналы 0.100. Кластер 19: Признаки консолидации: …662100 собирает от 4 плательщиков (203 тыс ₸), в кластере 3 seed; веерная раздача: …082100 → 26 получателей (2,32 млн ₸) — возможны выплаты участникам/обналичивание.",0.66,False,True,19,"Веерная раздача: 2,32 млн ₸ 26 получателям (29 переводов, в среднем 80 тыс ₸); получил 377 тыс ₸ от 5 плательщиков; 7 получателей за один день (31.07)"
23,100000008636603100,coordinator,0.7603,"Координатор (уверенность 0.62; R1 мост: посредничество 0.0035 (топ-1%), кластеров с seed=5). Мост между 5 кластерами с seed (посредничество в топ-1%); получил 35 тыс ₸ от 2 плательщиков (2 перевода), отправил 159 тыс ₸ 6 получателям (7 переводов). Сигналы: сквозной транзит ≤2 дн; участвует в возвратном потоке (цикле); отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.760 = роль 0.219 + оборот 0.176 + центральность 0.199 + связь с seed 0.100 + сигналы 0.067. Кластер 6: Признаки управляющего ядра: координатор …603100 (от 2 плательщиков, 6 получателей, 195 тыс ₸); признаки консолидации: …528100 собирает от 5 плательщиков (1,07 млн ₸), в кластере 7 seed.",0.625,False,True,6,"Мост между 5 кластерами с seed (посредничество в топ-1%); получил 35 тыс ₸ от 2 плательщиков (2 перевода), отправил 159 тыс ₸ 6 получателям (7 переводов)"
24,100000008748914100,distributor,0.7585,"Распределитель (уверенность 0.53; R2: out_deg=13≥10 и ≥3×in_deg). Веерная раздача: 4,47 млн ₸ 13 получателям (21 перевод, в среднем 213 тыс ₸); получил 180 тыс ₸ от 2 плательщиков; 6 получателей за один день (23.07). Сигналы: сквозной транзит ≤2 дн; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.758 = роль 0.148 + оборот 0.248 + центральность 0.195 + связь с seed 0.067 + сигналы 0.100. Кластер 5: Признаки управляющего ядра: координатор …369100 (от 24 плательщиков, 62 получателей, 12,44 млн ₸); признаки консолидации: …763100 собирает от 15 плательщиков (1,17 млн ₸), в кластере 3 seed.",0.53,False,True,5,"Веерная раздача: 4,47 млн ₸ 13 получателям (21 перевод, в среднем 213 тыс ₸); получил 180 тыс ₸ от 2 плательщиков; 6 получателей за один день (23.07)"
25,100000004299488100,consolidator,0.7576,"Консолидатор (уверенность 0.59; R3: in_deg=6≥4). Получает от 6 плательщиков: 1,75 млн ₸, 22 перевода (в среднем 80 тыс ₸); seed среди плательщиков: 1; дальше ушло 20% полученного 2 получателям; 3 плательщиков за один день (08.07). Сигналы: синхронные поступления от нескольких плательщиков в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; аномальный профиль относительно своего колена. Приоритет 0.758 = роль 0.186 + оборот 0.243 + центральность 0.195 + связь с seed 0.033 + сигналы 0.100. Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.591,False,True,1,"Получает от 6 плательщиков: 1,75 млн ₸, 22 перевода (в среднем 80 тыс ₸); seed среди плательщиков: 1; дальше ушло 20% полученного 2 получателям; 3 плательщиков за один день (08.07)"
26,100000004351795100,distributor,0.7573,"Распределитель (уверенность 0.54; R2: out_deg=14≥10 и ≥3×in_deg). Веерная раздача: 1,72 млн ₸ 14 получателям (37 переводов, в среднем 46 тыс ₸); получил 118 тыс ₸ от 3 плательщиков; 5 получателей за один день (30.07). Сигналы: сквозной транзит ≤2 дн; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); аномальный профиль относительно своего колена; отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.757 = роль 0.151 + оборот 0.241 + центральность 0.199 + связь с seed 0.067 + сигналы 0.100. Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.54,False,True,1,"Веерная раздача: 1,72 млн ₸ 14 получателям (37 переводов, в среднем 46 тыс ₸); получил 118 тыс ₸ от 3 плательщиков; 5 получателей за один день (30.07)"
27,100000007055802100,consolidator,0.7571,"Консолидатор (уверенность 0.59; R3: in_deg=6≥4). Получает от 6 плательщиков: 2,02 млн ₸, 34 перевода (в среднем 60 тыс ₸); seed среди плательщиков: 1; дальше ушло 30% полученного 1 получателю; 4 плательщиков за один день (18.07). Сигналы: синхронные поступления от нескольких плательщиков в один день; участвует в возвратном потоке (цикле); устойчивый повторяющийся маршрут A→B→C; повторяющиеся одинаковые суммы; аномальный профиль относительно своего колена. Приоритет 0.757 = роль 0.186 + оборот 0.245 + центральность 0.192 + связь с seed 0.033 + сигналы 0.100. Кластер 1: Признаки управляющего ядра: координатор …318100 (от 4 плательщиков, 19 получателей, 759 тыс ₸); веерная раздача: …795100 → 14 получателей (1,72 млн ₸) — возможны выплаты участникам/обналичивание.",0.591,False,True,1,"Получает от 6 плательщиков: 2,02 млн ₸, 34 перевода (в среднем 60 тыс ₸); seed среди плательщиков: 1; дальше ушло 30% полученного 1 получателю; 4 плательщиков за один день (18.07)"
28,100000008489922100,distributor,0.7563,"Распределитель (уверенность 0.76; R2: out_deg=36≥10 и ≥3×in_deg). Веерная раздача: 3,79 млн ₸ 36 получателям (41 перевод, в среднем 92 тыс ₸); получил 262 тыс ₸ от 3 плательщиков; 7 получателей за один день (16.07). Сигналы: сквозной транзит ≤2 дн; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.756 = роль 0.213 + оборот 0.247 + центральность 0.196 + связь с seed 0.000 + сигналы 0.100. Кластер 2: Признаки консолидации: …366100 собирает от 6 плательщиков (2,52 млн ₸); веерная раздача: …922100 → 36 получателей (3,79 млн ₸) — возможны выплаты участникам/обналичивание.",0.76,False,True,2,"Веерная раздача: 3,79 млн ₸ 36 получателям (41 перевод, в среднем 92 тыс ₸); получил 262 тыс ₸ от 3 плательщиков; 7 получателей за один день (16.07)"
29,100000003796063100,distributor,0.749,"Распределитель (уверенность 0.55; R2: out_deg=15≥10 и ≥3×in_deg). Веерная раздача: 959 тыс ₸ 15 получателям (23 перевода, в среднем 42 тыс ₸); получил 35 тыс ₸ от 1 плательщика; 5 получателей за один день (12.07). Сигналы: сквозной транзит ≤2 дн; веерная рассылка многим получателям в один день; участвует в возвратном потоке (цикле); отдаёт больше, чем получил в выборке (невидимые входящие). Приоритет 0.749 = роль 0.154 + оборот 0.231 + центральность 0.197 + связь с seed 0.067 + сигналы 0.100. Кластер 3: Признаки управляющего ядра: координатор …309100 (от 5 плательщиков, 99 получателей, 23,99 млн ₸); веерная раздача: …063100 → 15 получателей (959 тыс ₸) — возможны выплаты участникам/обналичивание.",0.55,False,True,3,"Веерная раздача: 959 тыс ₸ 15 получателям (23 перевода, в среднем 42 тыс ₸); получил 35 тыс ₸ от 1 плательщика; 5 получателей за один день (12.07)"
