length,path,min_edge_kzt,total_kzt
3,100000008686313100 → 100000006866783100 → 100000008137435100 → 100000008686313100,43906.0,143406.0
2,100000006579678100 → 100000003016635100 → 100000006579678100,42930.0,124530.0
2,100000005704413100 → 100000004569484100 → 100000005704413100,41000.0,106705.0
2,100000004160650100 → 100000002731501100 → 100000004160650100,40000.0,590370.0
2,100000008603629100 → 100000001138283100 → 100000008603629100,40000.0,121805.0
2,100000002175422100 → 100000003004487100 → 100000002175422100,40000.0,155000.0
2,100000000933075100 → 100000002193259100 → 100000000933075100,40000.0,80000.0
2,100000000297649100 → 100000001899164100 → 100000000297649100,40000.0,110600.0
4,100000003880331100 → 100000008603629100 → 100000003178549100 → 100000001857829100 → 100000003880331100,40000.0,797000.0
4,100000004390333100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000004390333100,40000.0,468430.0
2,100000003509750100 → 100000001808684100 → 100000003509750100,37700.0,86100.0
2,100000008736940100 → 100000008751429100 → 100000008736940100,37500.0,110100.0
3,100000005704413100 → 100000004569484100 → 100000005578559100 → 100000005704413100,36834.67,153539.67
2,100000006385877100 → 100000006443391100 → 100000006385877100,36602.93,90309.55
2,100000003616818100 → 100000004005964100 → 100000003616818100,35000.0,75000.0
2,100000003796063100 → 100000008111003100 → 100000003796063100,35000.0,70000.0
3,100000004160650100 → 100000004005964100 → 100000003616818100 → 100000004160650100,35000.0,118000.0
4,100000003796063100 → 100000006866783100 → 100000002306369100 → 100000008111003100 → 100000003796063100,35000.0,226666.0
4,100000003796063100 → 100000008477350100 → 100000005910114100 → 100000008111003100 → 100000003796063100,35000.0,357983.0
4,100000003796063100 → 100000008346837100 → 100000005910114100 → 100000008111003100 → 100000003796063100,35000.0,295025.0
4,100000005910114100 → 100000006866783100 → 100000002306369100 → 100000008477350100 → 100000005910114100,35000.0,490845.0
4,100000008603629100 → 100000002723538100 → 100000003242289100 → 100000008304139100 → 100000008603629100,33000.0,356217.0
2,100000005933757100 → 100000004569484100 → 100000005933757100,32607.0,71607.0
2,100000003115284100 → 100000003360542100 → 100000003115284100,30500.0,337500.0
2,100000002391278100 → 100000004221668100 → 100000002391278100,30000.0,82700.0
2,100000008547948100 → 100000008489922100 → 100000008547948100,30000.0,117000.0
2,100000008545727100 → 100000005473151100 → 100000008545727100,30000.0,1090000.0
2,100000007131370100 → 100000000076451100 → 100000007131370100,30000.0,60000.0
2,100000003942602100 → 100000002527114100 → 100000003942602100,30000.0,60000.0
2,100000005342513100 → 100000002733905100 → 100000005342513100,30000.0,265000.0
4,100000008547844100 → 100000008465789100 → 100000008466579100 → 100000008547948100 → 100000008547844100,30000.0,195099.0
5,100000008547844100 → 100000008465789100 → 100000008466579100 → 100000008489922100 → 100000008547948100 → 100000008547844100,30000.0,313099.0
4,100000004070318100 → 100000008346837100 → 100000004351795100 → 100000000437046100 → 100000004070318100,29511.0,721570.0
2,100000008686313100 → 100000000437046100 → 100000008686313100,29200.0,1134183.0
4,100000004070318100 → 100000006866783100 → 100000008686313100 → 100000000437046100 → 100000004070318100,29200.0,429381.0
4,100000008686313100 → 100000000437046100 → 100000001279272100 → 100000000331309100 → 100000008686313100,29200.0,782242.0
5,100000004070318100 → 100000006866783100 → 100000008137435100 → 100000008686313100 → 100000000437046100 → 100000004070318100,29200.0,299506.0
2,100000004160650100 → 100000003616818100 → 100000004160650100,28000.0,63100.0
2,100000000437046100 → 100000007639767100 → 100000000437046100,27868.0,77868.0
4,100000008686313100 → 100000000437046100 → 100000007639767100 → 100000008603629100 → 100000008686313100,27868.0,231011.0
2,100000008603629100 → 100000001857829100 → 100000008603629100,26000.0,434000.0
3,100000008603629100 → 100000003178549100 → 100000001857829100 → 100000008603629100,26000.0,125000.0
5,100000008603629100 → 100000002723538100 → 100000003242289100 → 100000008304139100 → 100000001857829100 → 100000008603629100,26000.0,275217.0
4,100000008686313100 → 100000008477350100 → 100000008086440100 → 100000008603629100 → 100000008686313100,25800.0,365126.0
4,100000008686313100 → 100000008477350100 → 100000008086440100 → 100000000437046100 → 100000008686313100,25800.0,1372016.0
4,100000008686313100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000008686313100,25800.0,633660.0
4,100000008686313100 → 100000008477350100 → 100000005910114100 → 100000008603629100 → 100000008686313100,25800.0,475084.0
4,100000008686313100 → 100000008477350100 → 100000003968044100 → 100000008603629100 → 100000008686313100,25800.0,237493.0
5,100000008686313100 → 100000008477350100 → 100000005910114100 → 100000002957787100 → 100000008137435100 → 100000008686313100,25800.0,314023.0
5,100000008686313100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000008137435100 → 100000008686313100,25800.0,503785.0
5,100000008686313100 → 100000008477350100 → 100000005910114100 → 100000001857829100 → 100000008603629100 → 100000008686313100,25800.0,317495.0
2,100000004847758100 → 100000008603629100 → 100000004847758100,25612.0,67612.0
2,100000001697501100 → 100000002527114100 → 100000001697501100,25000.0,115000.0
2,100000001697501100 → 100000006612238100 → 100000001697501100,25000.0,185000.0
2,100000002733905100 → 100000001166289100 → 100000002733905100,25000.0,507839.0
4,100000004070318100 → 100000008477350100 → 100000008086440100 → 100000000437046100 → 100000004070318100,25000.0,356233.0
4,100000004070318100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000004070318100,25000.0,472404.0
4,100000008686313100 → 100000008603629100 → 100000001660397100 → 100000006866783100 → 100000008686313100,24000.0,333981.0
4,100000004351795100 → 100000008603629100 → 100000001660397100 → 100000006866783100 → 100000004351795100,24000.0,196704.0
4,100000004390333100 → 100000008603629100 → 100000001660397100 → 100000006866783100 → 100000004390333100,24000.0,159051.0
5,100000008686313100 → 100000008603629100 → 100000001660397100 → 100000006866783100 → 100000008137435100 → 100000008686313100,24000.0,204106.0
2,100000008603629100 → 100000007639767100 → 100000008603629100,23722.0,121972.0
4,100000008686313100 → 100000008603629100 → 100000007639767100 → 100000000437046100 → 100000008686313100,23722.0,1234205.0
2,100000008304139100 → 100000006866783100 → 100000008304139100,23567.0,167567.0
3,100000008587459100 → 100000006866783100 → 100000008304139100 → 100000008587459100,23567.0,168067.0
4,100000004070318100 → 100000006866783100 → 100000008304139100 → 100000000437046100 → 100000004070318100,23567.0,228567.0
4,100000008686313100 → 100000006866783100 → 100000008304139100 → 100000008603629100 → 100000008686313100,23567.0,306360.0
4,100000008686313100 → 100000006866783100 → 100000008304139100 → 100000000437046100 → 100000008686313100,23567.0,1206650.0
4,100000008603629100 → 100000001660397100 → 100000006866783100 → 100000008304139100 → 100000008603629100,23567.0,235867.0
4,100000005910114100 → 100000006866783100 → 100000008304139100 → 100000008477350100 → 100000005910114100,23567.0,466246.0
5,100000008686313100 → 100000006866783100 → 100000008304139100 → 100000001857829100 → 100000008603629100 → 100000008686313100,23567.0,225360.0
5,100000008603629100 → 100000001660397100 → 100000006866783100 → 100000008304139100 → 100000001857829100 → 100000008603629100,23567.0,154867.0
4,100000004070318100 → 100000008603629100 → 100000007639767100 → 100000000437046100 → 100000004070318100,23126.0,186848.0
4,100000004070318100 → 100000008603629100 → 100000001660397100 → 100000006866783100 → 100000004070318100,23126.0,141151.0
4,100000004070318100 → 100000008603629100 → 100000008686313100 → 100000006866783100 → 100000004070318100,23126.0,211644.0
4,100000004070318100 → 100000008603629100 → 100000008686313100 → 100000000437046100 → 100000004070318100,23126.0,218019.0
4,100000004070318100 → 100000006866783100 → 100000007639767100 → 100000000437046100 → 100000004070318100,23018.0,248018.0
4,100000008686313100 → 100000006866783100 → 100000007639767100 → 100000008603629100 → 100000008686313100,23018.0,245061.0
4,100000008686313100 → 100000006866783100 → 100000007639767100 → 100000000437046100 → 100000008686313100,23018.0,1226101.0
4,100000008603629100 → 100000001660397100 → 100000006866783100 → 100000007639767100 → 100000008603629100,23018.0,174568.0
2,100000006518161100 → 100000005660203100 → 100000006518161100,23000.0,595899.0
2,100000004351795100 → 100000008603629100 → 100000004351795100,22418.0,99418.0
4,100000004070318100 → 100000008603629100 → 100000004351795100 → 100000000437046100 → 100000004070318100,22418.0,677544.0
4,100000008686313100 → 100000008603629100 → 100000004351795100 → 100000000437046100 → 100000008686313100,22418.0,1724901.0
4,100000004351795100 → 100000000437046100 → 100000007639767100 → 100000008603629100 → 100000004351795100,22418.0,690536.0
4,100000004351795100 → 100000003242289100 → 100000008304139100 → 100000008603629100 → 100000004351795100,22418.0,323988.0
5,100000004351795100 → 100000008512552100 → 100000003178549100 → 100000001857829100 → 100000008603629100 → 100000004351795100,22418.0,563518.0
5,100000004351795100 → 100000008512552100 → 100000003242289100 → 100000008304139100 → 100000008603629100 → 100000004351795100,22418.0,989879.0
5,100000004351795100 → 100000003242289100 → 100000008304139100 → 100000001857829100 → 100000008603629100 → 100000004351795100,22418.0,242988.0
2,100000002293421100 → 100000004180097100 → 100000002293421100,22000.0,58000.0
2,100000002156381100 → 100000002696152100 → 100000002156381100,21800.0,72800.0
4,100000008686313100 → 100000006866783100 → 100000002306369100 → 100000008603629100 → 100000008686313100,20900.0,217859.0
4,100000008603629100 → 100000001660397100 → 100000006866783100 → 100000002306369100 → 100000008603629100,20900.0,147366.0
3,100000008417359100 → 100000008512552100 → 100000003242289100 → 100000008417359100,20760.0,530361.0
2,100000001526235100 → 100000005505655100 → 100000001526235100,20000.0,40000.0
2,100000008389800100 → 100000008430691100 → 100000008389800100,20000.0,40000.0
2,100000004076740100 → 100000005519998100 → 100000004076740100,20000.0,60000.0
2,100000002175422100 → 100000003557488100 → 100000002175422100,20000.0,684992.0
2,100000002132479100 → 100000004159526100 → 100000002132479100,20000.0,50000.0
2,100000007898453100 → 100000003946524100 → 100000007898453100,20000.0,44750.0
2,100000000607941100 → 100000003406094100 → 100000000607941100,20000.0,90000.0
3,100000004076740100 → 100000004336312100 → 100000005519998100 → 100000004076740100,20000.0,80000.0
3,100000005519998100 → 100000004017410100 → 100000004336312100 → 100000005519998100,20000.0,219915.0
3,100000008547844100 → 100000008465789100 → 100000008547948100 → 100000008547844100,20000.0,150099.0
4,100000004351795100 → 100000003242289100 → 100000004140487100 → 100000008603629100 → 100000004351795100,20000.0,115928.0
4,100000005704413100 → 100000004569484100 → 100000005933757100 → 100000008104567100 → 100000005704413100,20000.0,145255.0
4,100000008603629100 → 100000002723538100 → 100000003242289100 → 100000004140487100 → 100000008603629100,20000.0,148157.0
4,100000004076740100 → 100000004336312100 → 100000004017410100 → 100000005519998100 → 100000004076740100,20000.0,254650.0
5,100000008686313100 → 100000006866783100 → 100000002306369100 → 100000002723538100 → 100000008603629100 → 100000008686313100,20000.0,301959.0
5,100000004351795100 → 100000008512552100 → 100000003242289100 → 100000004140487100 → 100000008603629100 → 100000004351795100,20000.0,781819.0
5,100000008603629100 → 100000001660397100 → 100000006866783100 → 100000002306369100 → 100000002723538100 → 100000008603629100,20000.0,231466.0
5,100000002723538100 → 100000003242289100 → 100000008304139100 → 100000006866783100 → 100000002306369100 → 100000002723538100,20000.0,363736.0
2,100000004070318100 → 100000004400305100 → 100000004070318100,19800.0,42800.0
4,100000004070318100 → 100000004400305100 → 100000005910114100 → 100000006866783100 → 100000004070318100,19800.0,419405.0
4,100000004070318100 → 100000004400305100 → 100000008304139100 → 100000006866783100 → 100000004070318100,19800.0,274626.0
4,100000004070318100 → 100000004400305100 → 100000008304139100 → 100000000437046100 → 100000004070318100,19800.0,185901.0
4,100000004070318100 → 100000004400305100 → 100000008587459100 → 100000006866783100 → 100000004070318100,19800.0,312532.0
4,100000004070318100 → 100000004400305100 → 100000008686313100 → 100000006866783100 → 100000004070318100,19800.0,215042.0
4,100000004070318100 → 100000004400305100 → 100000008686313100 → 100000000437046100 → 100000004070318100,19800.0,221417.0
5,100000004070318100 → 100000004400305100 → 100000008304139100 → 100000008587459100 → 100000006866783100 → 100000004070318100,19800.0,275126.0
2,100000002957787100 → 100000005268319100 → 100000002957787100,19712.8,43712.8
2,100000001660397100 → 100000006866783100 → 100000001660397100,19300.0,43300.0
3,100000000785800100 → 100000008601794100 → 100000001872484100 → 100000000785800100,19000.0,909400.0
2,100000004330371100 → 100000003016635100 → 100000004330371100,18981.0,115652.0
2,100000008086440100 → 100000008477350100 → 100000008086440100,18900.0,218633.0
4,100000004070318100 → 100000004400305100 → 100000004390333100 → 100000000437046100 → 100000004070318100,18807.0,228607.0
4,100000004070318100 → 100000004400305100 → 100000004390333100 → 100000006866783100 → 100000004070318100,18807.0,163332.0
4,100000008686313100 → 100000006866783100 → 100000004847758100 → 100000008603629100 → 100000008686313100,18775.0,184568.0
4,100000004847758100 → 100000008603629100 → 100000001660397100 → 100000006866783100 → 100000004847758100,18775.0,114075.0
4,100000008710843100 → 100000008547844100 → 100000008547948100 → 100000008489922100 → 100000008710843100,18200.0,235200.0
5,100000008710843100 → 100000008547844100 → 100000008465789100 → 100000008547948100 → 100000008489922100 → 100000008710843100,18200.0,224299.0
5,100000008710843100 → 100000008547844100 → 100000008465789100 → 100000008466579100 → 100000008489922100 → 100000008710843100,18200.0,270299.0
2,100000001893287100 → 100000004698193100 → 100000001893287100,18000.0,170700.0
2,100000004188160100 → 100000003016635100 → 100000004188160100,18000.0,97262.0
2,100000004544958100 → 100000004677680100 → 100000004544958100,18000.0,186000.0
2,100000006707582100 → 100000000850297100 → 100000006707582100,17520.0,35040.0
2,100000008169544100 → 100000003016635100 → 100000008169544100,17300.0,154404.0
4,100000008443341100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000008443341100,17000.0,424179.0
2,100000005287097100 → 100000004156082100 → 100000005287097100,16450.0,66950.0
5,100000005287097100 → 100000004150593100 → 100000008188026100 → 100000004527381100 → 100000004156082100 → 100000005287097100,16450.0,489759.28
5,100000005287097100 → 100000003016635100 → 100000008188026100 → 100000004527381100 → 100000004156082100 → 100000005287097100,16450.0,865507.28
4,100000004070318100 → 100000008477350100 → 100000007639767100 → 100000000437046100 → 100000004070318100,16305.0,181305.0
4,100000008686313100 → 100000008477350100 → 100000007639767100 → 100000008603629100 → 100000008686313100,16305.0,216048.0
4,100000008686313100 → 100000008477350100 → 100000007639767100 → 100000000437046100 → 100000008686313100,16305.0,1197088.0
4,100000004847758100 → 100000008603629100 → 100000004679953100 → 100000005782781100 → 100000004847758100,16000.0,245484.0
2,100000004692798100 → 100000000831684100 → 100000004692798100,15000.0,65000.0
2,100000005507142100 → 100000002612809100 → 100000005507142100,15000.0,45000.0
2,100000008293431100 → 100000000437046100 → 100000008293431100,15000.0,230000.0
2,100000000011452100 → 100000005140601100 → 100000000011452100,15000.0,31685.0
2,100000005168487100 → 100000002941114100 → 100000005168487100,15000.0,118510.0
3,100000004007116100 → 100000003616818100 → 100000004160650100 → 100000004007116100,15000.0,585844.0
3,100000004007116100 → 100000003616818100 → 100000004005964100 → 100000004007116100,15000.0,82000.0
3,100000005339662100 → 100000004820260100 → 100000005175148100 → 100000005339662100,15000.0,323200.0
4,100000004007116100 → 100000003616818100 → 100000004160650100 → 100000002731501100 → 100000004007116100,15000.0,802430.0
4,100000004007116100 → 100000003616818100 → 100000004160650100 → 100000004005964100 → 100000004007116100,15000.0,125000.0
4,100000002723538100 → 100000003242289100 → 100000004140487100 → 100000004400305100 → 100000002723538100,15000.0,102510.0
2,100000005037490100 → 100000008733194100 → 100000005037490100,14000.0,29000.0
4,100000004070318100 → 100000004400305100 → 100000002645993100 → 100000008413748100 → 100000004070318100,13480.0,98451.55
2,100000005264874100 → 100000005507142100 → 100000005264874100,13000.0,43000.0
2,100000004475818100 → 100000005665181100 → 100000004475818100,13000.0,31498.0
4,100000004070318100 → 100000008603629100 → 100000001660397100 → 100000008413748100 → 100000004070318100,13000.0,94947.55
4,100000004070318100 → 100000006866783100 → 100000001660397100 → 100000008413748100 → 100000004070318100,13000.0,146821.55
4,100000008413748100 → 100000008304139100 → 100000008603629100 → 100000001660397100 → 100000008413748100,13000.0,227391.75
4,100000008413748100 → 100000008304139100 → 100000006866783100 → 100000001660397100 → 100000008413748100,13000.0,202391.75
5,100000008587459100 → 100000006866783100 → 100000001660397100 → 100000008413748100 → 100000008304139100 → 100000008587459100,13000.0,202891.75
5,100000008413748100 → 100000008304139100 → 100000001857829100 → 100000008603629100 → 100000001660397100 → 100000008413748100,13000.0,146391.75
2,100000008636603100 → 100000000667713100 → 100000008636603100,12750.0,25500.0
3,100000008636603100 → 100000003016635100 → 100000000667713100 → 100000008636603100,12750.0,162695.0
2,100000003888271100 → 100000000580561100 → 100000003888271100,12177.0,30857.0
4,100000008086440100 → 100000008603629100 → 100000001660397100 → 100000008477350100 → 100000008086440100,12000.0,304933.0
4,100000008603629100 → 100000001660397100 → 100000008477350100 → 100000005910114100 → 100000008603629100,12000.0,414891.0
4,100000008603629100 → 100000001660397100 → 100000008477350100 → 100000003968044100 → 100000008603629100,12000.0,177300.0
4,100000008603629100 → 100000001660397100 → 100000008477350100 → 100000007639767100 → 100000008603629100,12000.0,155855.0
4,100000001660397100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000001660397100,12000.0,413979.0
5,100000008603629100 → 100000001660397100 → 100000008477350100 → 100000005910114100 → 100000001857829100 → 100000008603629100,12000.0,257302.0
2,100000006866783100 → 100000001609499100 → 100000006866783100,11000.0,104937.0
2,100000001600934100 → 100000005140601100 → 100000001600934100,11000.0,191300.0
4,100000004070318100 → 100000008603629100 → 100000001609499100 → 100000006866783100 → 100000004070318100,11000.0,154507.0
4,100000004070318100 → 100000004400305100 → 100000001609499100 → 100000006866783100 → 100000004070318100,11000.0,209045.0
4,100000008686313100 → 100000008603629100 → 100000001609499100 → 100000006866783100 → 100000008686313100,11000.0,347337.0
4,100000004847758100 → 100000008603629100 → 100000001609499100 → 100000006866783100 → 100000004847758100,11000.0,127431.0
4,100000004351795100 → 100000008603629100 → 100000001609499100 → 100000006866783100 → 100000004351795100,11000.0,210060.0
4,100000004390333100 → 100000008603629100 → 100000001609499100 → 100000006866783100 → 100000004390333100,11000.0,172407.0
4,100000008603629100 → 100000001609499100 → 100000006866783100 → 100000008304139100 → 100000008603629100,11000.0,249223.0
4,100000008603629100 → 100000001609499100 → 100000006866783100 → 100000002306369100 → 100000008603629100,11000.0,160722.0
4,100000008603629100 → 100000001609499100 → 100000006866783100 → 100000007639767100 → 100000008603629100,11000.0,187924.0
5,100000008686313100 → 100000008603629100 → 100000001609499100 → 100000006866783100 → 100000008137435100 → 100000008686313100,11000.0,217462.0
5,100000008603629100 → 100000001609499100 → 100000006866783100 → 100000008304139100 → 100000001857829100 → 100000008603629100,11000.0,168223.0
5,100000008603629100 → 100000001609499100 → 100000006866783100 → 100000002306369100 → 100000002723538100 → 100000008603629100,11000.0,244822.0
4,100000005287097100 → 100000004150593100 → 100000008595687100 → 100000003016635100 → 100000005287097100,10400.0,242518.0
2,100000008254069100 → 100000003809101100 → 100000008254069100,10200.0,30200.0
2,100000003509750100 → 100000004697956100 → 100000003509750100,10000.0,20000.0
2,100000004007116100 → 100000004005964100 → 100000004007116100,10000.0,37000.0
2,100000004007116100 → 100000002731501100 → 100000004007116100,10000.0,211960.0
2,100000008474308100 → 100000008443341100 → 100000008474308100,10000.0,24000.0
2,100000006866783100 → 100000007639767100 → 100000006866783100,10000.0,33018.0
2,100000006866783100 → 100000000089154100 → 100000006866783100,10000.0,32000.0
2,100000003917461100 → 100000004386258100 → 100000003917461100,10000.0,20000.0
2,100000003636627100 → 100000002692750100 → 100000003636627100,10000.0,87000.0
2,100000002741024100 → 100000001439416100 → 100000002741024100,10000.0,20000.0
2,100000005142492100 → 100000002870463100 → 100000005142492100,10000.0,67000.0
2,100000005882013100 → 100000005074393100 → 100000005882013100,10000.0,130000.0
3,100000004007116100 → 100000004005964100 → 100000002731501100 → 100000004007116100,10000.0,221960.0
3,100000004007116100 → 100000002731501100 → 100000004160650100 → 100000004007116100,10000.0,585744.0
3,100000004160650100 → 100000004005964100 → 100000002731501100 → 100000004160650100,10000.0,97900.0
3,100000004336312100 → 100000004017410100 → 100000003934614100 → 100000004336312100,10000.0,74150.0
