gid,role,role_score,cluster_id,priority_score,evidence,rank,rule_fired,alt_role,sink_status,truncated,p_forward,is_seed,depth,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,out_in_ratio,fast_share,unseen_inflow_kzt,seed_in,seed_out,pagerank,betweenness,flags,prio_role,prio_flow,prio_centrality,prio_seed,prio_flags
100000003684369100,coordinator,0.925,5,0.8148,"Хаб: собирает от 24 плательщиков (3,85 млн ₸) и раздаёт 62 получателям (8,59 млн ₸); связан с 5 кластерами с seed; seed среди плательщиков: 1",11,"R1 хаб: in_deg=24≥8, out_deg=62≥20",consolidator,not_sink,False,1.0,True,0,24,62,3848436.0,8588655.0,58,67,2.2317,0.9776,4740219.0,1,0,0.00202029,0.00230307,fast_transit;burst_in;burst_out;in_cycle;repeat_route;repeat_amounts,0.2914,0.2248,0.1786,0.03,0.09
100000004070318100,coordinator,0.5,1,0.7991,"Платит 3 известным участникам (seed); получил 207 тыс ₸ от 4 плательщиков (6 переводов), отправил 552 тыс ₸ 19 получателям (37 переводов); seed среди плательщиков: 1",12,R1 платит seed: seed-получателей=3≥3,distributor,not_sink,False,1.0,False,1,4,19,207246.55,551860.0,6,37,2.6628,1.0,344613.45,1,3,0.00031412,0.00207327,fast_transit;in_cycle;anomaly;unseen_inflow,0.175,0.2258,0.1983,0.1,0.1
100000008686313100,consolidator,0.591,1,0.7946,"Получает от 6 плательщиков: 1,91 млн ₸, 16 переводов (в среднем 120 тыс ₸); seed среди плательщиков: 1; дальше ушло 17% полученного 7 получателям",13,R3: in_deg=6≥4,-,not_sink,False,1.0,False,1,6,7,1912716.0,333800.0,16,13,0.1745,0.1243,0.0,1,1,0.00046763,0.00198483,in_cycle;repeat_route;anomaly,0.1862,0.2438,0.198,0.0667,0.1
100000005287097100,transit,0.762,6,0.7841,"Получил 127 тыс ₸ от 2 плательщиков (5 переводов), отправил 697 тыс ₸ 9 получателям (42 перевода); отправил в 5,5× больше полученного → есть невидимые входящие; 80% полученного ушло за ≤2 дн",14,R4: out/in=5.48>1.2 (невидимые входящие),-,not_sink,False,1.0,False,1,2,9,127173.0,697300.0,5,42,5.4831,0.8018,570127.0,1,2,0.00030271,0.00078322,fast_transit;in_cycle;anomaly;unseen_inflow,0.16,0.2281,0.196,0.1,0.1
100000005910114100,coordinator,0.5,8,0.7821,"Мост между 4 кластерами с seed (посредничество в топ-1%); получил 326 тыс ₸ от 3 плательщиков (3 перевода), отправил 1,47 млн ₸ 19 получателям (56 переводов)",15,"R1 мост: посредничество 0.0058 (топ-1%), кластеров с seed=4",distributor,not_sink,False,1.0,False,3,3,19,326144.0,1469993.0,3,56,4.5072,0.8161,1143849.0,0,2,0.00036165,0.00584221,fast_transit;burst_out;in_cycle;unseen_inflow,0.175,0.2407,0.1997,0.0667,0.1
100000008477350100,coordinator,0.642,1,0.7707,"Хаб: собирает от 11 плательщиков (610 тыс ₸) и раздаёт 39 получателям (3,37 млн ₸); связан с 2 кластерами с seed",16,"R1 хаб: in_deg=11≥8, out_deg=39≥20",distributor,not_sink,False,1.0,False,2,11,39,610100.0,3374866.0,14,44,5.5317,0.7237,2764766.0,0,0,0.00103424,0.00251719,burst_out;in_cycle;repeat_route;anomaly;unseen_inflow,0.2247,0.2471,0.1988,0.0,0.1
100000005382566100,consolidator,1.0,33,0.7703,"Получает от 7 плательщиков: 393 тыс ₸, 11 переводов (в среднем 36 тыс ₸); seed среди плательщиков: 6; дальше ушло 13% полученного 1 получателю",17,R3: in_deg=7≥4,-,not_sink,False,1.0,True,0,7,1,393066.0,50000.0,11,1,0.1272,0.1272,0.0,6,1,0.00211326,4.637e-05,in_cycle,0.2835,0.1888,0.1781,0.09,0.03
100000004135268100,transit,0.937,29,0.7696,"Получил 1,24 млн ₸ от 2 плательщиков (3 перевода), отправил 1,00 млн ₸ 3 получателям (4 перевода); дальше ушло 81%; 69% полученного ушло за ≤2 дн; seed среди плательщиков: 1",18,R4: out/in=0.81∈[0.8;1.2],-,not_sink,False,1.0,False,1,2,3,1239000.0,1000200.0,3,4,0.8073,0.686,0.0,1,1,0.00174053,1.19e-06,in_cycle;repeat_route,0.1968,0.2437,0.1958,0.0667,0.0667
100000006866783100,coordinator,0.875,1,0.769,"Мост между 7 кластерами с seed (посредничество в топ-1%); получил 839 тыс ₸ от 13 плательщиков (31 перевод), отправил 3,95 млн ₸ 67 получателям (90 переводов)",19,"R1 мост: посредничество 0.0060 (топ-1%), кластеров с seed=7",distributor,not_sink,False,1.0,True,0,13,67,838812.0,3948037.0,31,90,4.7067,1.0,3109225.0,0,0,0.00087037,0.00604523,fast_transit;burst_in;burst_out;in_cycle;repeat_route;repeat_amounts,0.2756,0.2235,0.1798,0.0,0.09
100000000437046100,coordinator,0.625,1,0.7666,"Мост между 5 кластерами с seed (посредничество в топ-1%); получил 1,11 млн ₸ от 9 плательщиков (20 переводов), отправил 7,61 млн ₸ 42 получателям (73 перевода)",20,"R1 мост: посредничество 0.0022 (топ-1%), кластеров с seed=5",distributor,not_sink,False,1.0,False,2,9,42,1107200.0,7606224.0,20,73,6.8698,0.8963,6499024.0,0,0,0.00079249,0.00219715,fast_transit;burst_in;burst_out;in_cycle;repeat_route;repeat_amounts;anomaly;unseen_inflow,0.2188,0.2494,0.1984,0.0,0.1
100000008733194100,coordinator,0.667,21,0.7656,"Платит 4 известным участникам (seed); получил 251 тыс ₸ от 4 плательщиков (4 перевода), отправил 160 тыс ₸ 8 получателям (8 переводов)",21,R1 платит seed: seed-получателей=4≥3,consolidator,not_sink,False,1.0,False,2,4,8,251424.0,159695.0,4,8,0.6352,0.4519,0.0,0,4,0.00047073,0.00020045,in_cycle,0.2334,0.2074,0.1914,0.1,0.0333
100000004156082100,distributor,0.66,19,0.7618,"Веерная раздача: 2,32 млн ₸ 26 получателям (29 переводов, в среднем 80 тыс ₸); получил 377 тыс ₸ от 5 плательщиков; 7 получателей за один день (31.07)",22,R2: out_deg=26≥10 и ≥3×in_deg,consolidator,not_sink,False,1.0,False,1,5,26,377366.11,2319556.0,7,29,6.1467,1.0,1942189.8900000001,1,0,0.00086697,0.00204004,fast_transit;burst_out;in_cycle;repeat_route;anomaly;unseen_inflow,0.1848,0.2454,0.1982,0.0333,0.1
100000008636603100,coordinator,0.625,6,0.7603,"Мост между 5 кластерами с seed (посредничество в топ-1%); получил 35 тыс ₸ от 2 плательщиков (2 перевода), отправил 159 тыс ₸ 6 получателям (7 переводов)",23,"R1 мост: посредничество 0.0035 (топ-1%), кластеров с seed=5",-,not_sink,False,1.0,False,2,2,6,35460.0,159375.0,2,7,4.4945,1.0,123915.0,0,3,0.0003387,0.00347457,fast_transit;in_cycle;unseen_inflow,0.2188,0.1756,0.1993,0.1,0.0667
100000008748914100,distributor,0.53,5,0.7585,"Веерная раздача: 4,47 млн ₸ 13 получателям (21 перевод, в среднем 213 тыс ₸); получил 180 тыс ₸ от 2 плательщиков; 6 получателей за один день (23.07)",24,R2: out_deg=13≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,1,2,13,180000.0,4471847.0,9,21,24.8436,1.0,4291847.0,1,1,0.00079083,0.00064061,fast_transit;burst_out;in_cycle;repeat_route;anomaly;unseen_inflow,0.1484,0.2481,0.1953,0.0667,0.1
100000004299488100,consolidator,0.591,1,0.7576,"Получает от 6 плательщиков: 1,75 млн ₸, 22 перевода (в среднем 80 тыс ₸); seed среди плательщиков: 1; дальше ушло 20% полученного 2 получателям; 3 плательщика за один день (08.07)",25,R3: in_deg=6≥4,-,not_sink,False,1.0,False,1,6,2,1749000.0,344999.0,22,14,0.1973,0.1841,0.0,1,0,0.00146212,2.081e-05,burst_in;in_cycle;repeat_route;anomaly,0.1862,0.2433,0.1948,0.0333,0.1
100000004351795100,distributor,0.54,1,0.7573,"Веерная раздача: 1,72 млн ₸ 14 получателям (37 переводов, в среднем 46 тыс ₸); получил 118 тыс ₸ от 3 плательщиков; 5 получателей за один день (30.07)",26,R2: out_deg=14≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,1,3,14,118333.0,1715161.0,3,37,14.4944,1.0,1596828.0,1,1,0.00031352,0.00242852,fast_transit;burst_out;in_cycle;anomaly;unseen_inflow,0.1512,0.2409,0.1986,0.0667,0.1
100000007055802100,consolidator,0.591,1,0.7571,"Получает от 6 плательщиков: 2,02 млн ₸, 34 перевода (в среднем 60 тыс ₸); seed среди плательщиков: 1; дальше ушло 30% полученного 1 получателю; 4 плательщика за один день (18.07)",27,R3: in_deg=6≥4,-,not_sink,False,1.0,False,1,6,1,2024999.0,605000.0,34,7,0.2988,0.2015,0.0,1,0,0.00118192,4.36e-06,burst_in;in_cycle;repeat_route;repeat_amounts;anomaly,0.1862,0.2452,0.1923,0.0333,0.1
100000008489922100,distributor,0.76,2,0.7563,"Веерная раздача: 3,79 млн ₸ 36 получателям (41 перевод, в среднем 92 тыс ₸); получил 262 тыс ₸ от 3 плательщиков; 7 получателей за один день (16.07)",28,R2: out_deg=36≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,3,3,36,262010.0,3789900.0,5,41,14.4647,0.8893,3527890.0,0,0,0.0005859,0.00087219,fast_transit;burst_out;in_cycle;unseen_inflow,0.2128,0.2473,0.1962,0.0,0.1
100000003796063100,distributor,0.55,3,0.749,"Веерная раздача: 959 тыс ₸ 15 получателям (23 перевода, в среднем 42 тыс ₸); получил 35 тыс ₸ от 1 плательщика; 5 получателей за один день (12.07)",29,R2: out_deg=15≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,3,1,15,35000.0,959150.0,1,23,27.4043,1.0,924150.0,0,2,0.00068526,0.00117893,fast_transit;burst_out;in_cycle;unseen_inflow,0.154,0.2313,0.1971,0.0667,0.1
100000004071080100,consolidator,0.727,1,0.7485,"Получает от 9 плательщиков: 239 тыс ₸, 16 переводов (в среднем 15 тыс ₸); seed среди плательщиков: 1; дальше ушло 19% полученного 2 получателям",30,R3: in_deg=9≥4,-,not_sink,False,1.0,False,1,9,2,238600.0,46500.0,16,5,0.1949,0.1697,0.0,1,0,0.001369,2.814e-05,in_cycle;repeat_route;repeat_amounts,0.229,0.1923,0.1939,0.0333,0.1
100000006518161100,transit,0.9,6,0.7434,"Получил 594 тыс ₸ от 3 плательщиков (13 переводов), отправил 596 тыс ₸ 2 получателям (13 переводов); дальше ушло 100%; 50% полученного ушло за ≤2 дн; seed среди плательщиков: 1",31,R4: out/in=1.00∈[0.8;1.2],-,not_sink,False,1.0,False,1,3,2,594200.0,595899.0,13,13,1.0029,0.5022,1699.0,1,0,0.00081081,5.786e-05,in_cycle;repeat_route;anomaly,0.189,0.235,0.186,0.0333,0.1
100000006889963100,consolidator,0.5,3,0.7395,"Получает от 4 плательщиков: 1,43 млн ₸, 6 переводов (в среднем 238 тыс ₸); seed среди плательщиков: 2; дальше ушло 31% полученного 1 получателю; 4 плательщика за один день (21.07)",32,R3: in_deg=4≥4,-,not_sink,False,1.0,False,1,4,1,1431000.0,443475.8,6,3,0.3099,0.3099,0.0,2,0,0.00042726,2.516e-05,burst_in;repeat_route;repeat_amounts,0.1575,0.2417,0.1737,0.0667,0.1
100000005704413100,distributor,0.72,12,0.7383,"Веерная раздача: 1,36 млн ₸ 32 получателям (35 переводов, в среднем 39 тыс ₸); получил 98 тыс ₸ от 3 плательщиков; 6 получателей за один день (14.07)",33,R2: out_deg=32≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,3,3,32,97834.67,1363593.0,4,35,13.9377,1.0,1265758.33,0,0,0.00059969,0.00256276,fast_transit;burst_out;in_cycle;repeat_route;unseen_inflow,0.2016,0.2378,0.1989,0.0,0.1
100000002731501100,transit,0.844,27,0.7377,"Получил 570 тыс ₸ от 3 плательщиков (7 переводов), отправил 834 тыс ₸ 7 получателям (20 переводов); отправил в 1,5× больше полученного → есть невидимые входящие; 35% полученного ушло за ≤2 дн",34,R4: out/in=1.46>1.2 (невидимые входящие),-,not_sink,False,1.0,False,1,3,7,570370.0,833960.0,7,20,1.4621,0.3506,263590.0,1,1,0.00048558,4.46e-06,burst_in;in_cycle;repeat_route;anomaly;unseen_inflow,0.1772,0.2372,0.1565,0.0667,0.1
100000002527114100,distributor,1.0,11,0.736,"Веерная раздача: 3,29 млн ₸ 111 получателям (113 переводов, в среднем 29 тыс ₸); получил 129 тыс ₸ от 3 плательщиков; 11 получателей за один день (22.07)",35,R2: out_deg=111≥10 и ≥3×in_deg,-,not_sink,False,1.0,True,0,3,111,129000.0,3289249.0,4,113,25.4981,1.0,3160249.0,0,0,0.00081111,0.00019339,fast_transit;burst_out;in_cycle,0.252,0.2219,0.1721,0.0,0.09
100000004390333100,transit,0.755,1,0.7351,"Получил 65 тыс ₸ от 2 плательщиков (2 перевода), отправил 506 тыс ₸ 9 получателям (14 переводов); отправил в 7,8× больше полученного → есть невидимые входящие; 100% полученного ушло за ≤2 дн",36,R4: out/in=7.85>1.2 (невидимые входящие),-,not_sink,False,1.0,False,1,2,9,64558.0,506500.0,2,14,7.8457,1.0,441942.0,1,2,0.00029521,0.00015842,fast_transit;in_cycle;unseen_inflow,0.1585,0.2198,0.1901,0.1,0.0667
100000005339662100,consolidator,0.5,19,0.735,"Получает от 4 плательщиков: 203 тыс ₸, 9 переводов (в среднем 23 тыс ₸); seed среди плательщиков: 1; отправил 4 получателям в 1,5× больше полученного (невидимые входящие)",37,R3: in_deg=4≥4,-,not_sink,False,1.0,False,1,4,4,202939.0,295160.0,9,15,1.4544,0.6341,92221.0,1,1,0.00165674,0.00013962,in_cycle;repeat_route;anomaly,0.1575,0.2154,0.1955,0.0667,0.1
100000004403675100,consolidator,0.5,33,0.7335,"Получает от 4 плательщиков: 183 тыс ₸, 8 переводов (в среднем 23 тыс ₸); seed среди плательщиков: 2; отправил 5 получателям в 1,4× больше полученного (невидимые входящие)",38,R3: in_deg=4≥4,-,not_sink,False,1.0,False,1,4,5,182980.0,264699.0,8,6,1.4466,0.4082,81719.0,2,1,0.00074007,0.00278767,in_cycle;repeat_route,0.1575,0.2102,0.1991,0.1,0.0667
100000003635170100,transit,0.907,53,0.7333,"Получил 268 тыс ₸ от 3 плательщиков (13 переводов), отправил 254 тыс ₸ 4 получателям (10 переводов); дальше ушло 94%; 53% полученного ушло за ≤2 дн; seed среди плательщиков: 1",39,R4: out/in=0.94∈[0.8;1.2],-,not_sink,False,1.0,False,1,3,4,268500.0,253500.0,13,10,0.9441,0.5345,0.0,1,0,0.00114819,0.00018804,in_cycle;repeat_route;repeat_amounts,0.1905,0.2176,0.1919,0.0333,0.1
100000003880331100,distributor,0.56,8,0.7328,"Веерная раздача: 3,90 млн ₸ 16 получателям (31 перевод, в среднем 126 тыс ₸); получил 100 тыс ₸ от 1 плательщика; 6 получателей за один день (16.07)",40,R2: out_deg=16≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,3,1,16,100000.0,3904908.0,1,31,39.0491,1.0,3804908.0,0,1,0.00030766,0.00065965,fast_transit;burst_out;in_cycle;unseen_inflow,0.1568,0.2472,0.1955,0.0333,0.1
100000003016635100,coordinator,0.75,6,0.7309,"Мост между 6 кластерами с seed (посредничество в топ-1%); получил 587 тыс ₸ от 8 плательщиков (36 переводов), отправил 9,41 млн ₸ 73 получателям (151 перевод)",41,"R1 мост: посредничество 0.0072 (топ-1%), кластеров с seed=6",distributor,not_sink,False,1.0,True,0,8,73,586981.0,9414081.0,36,151,16.0381,1.0,8827100.0,0,0,0.00118964,0.00721547,fast_transit;burst_in;burst_out;in_cycle;repeat_route;repeat_amounts,0.2362,0.2247,0.1799,0.0,0.09
100000008547948100,distributor,0.66,2,0.7306,"Веерная раздача: 5,19 млн ₸ 26 получателям (31 перевод, в среднем 167 тыс ₸); получил 213 тыс ₸ от 6 плательщиков",42,R2: out_deg=26≥10 и ≥3×in_deg,consolidator,not_sink,False,1.0,False,2,6,26,212665.0,5185600.0,7,31,24.3839,1.0,4972935.0,0,0,0.0004277,0.00113221,fast_transit;burst_in;in_cycle;repeat_route;anomaly;unseen_inflow,0.1848,0.2489,0.1969,0.0,0.1
100000001857829100,consolidator,0.591,8,0.7304,"Получает от 6 плательщиков: 889 тыс ₸, 9 переводов (в среднем 99 тыс ₸); отправил 16 получателям в 2,7× больше полученного (невидимые входящие); 3 плательщика за один день (10.07)",43,R3: in_deg=6≥4,distributor,not_sink,False,1.0,False,2,6,16,888535.0,2390993.0,9,16,2.6909,0.9899,1502458.0,0,0,0.00062048,0.0019596,fast_transit;burst_in;burst_out;in_cycle;anomaly;unseen_inflow,0.1862,0.2463,0.1979,0.0,0.1
100000003701161100,consolidator,0.5,25,0.7279,"Получает от 4 плательщиков: 1,53 млн ₸, 13 переводов (в среднем 117 тыс ₸); seed среди плательщиков: 1; дальше ушло 23% полученного 3 получателям",44,R3: in_deg=4≥4,-,not_sink,False,1.0,False,1,4,3,1527103.0,349000.0,13,7,0.2285,0.1768,0.0,1,0,0.00164882,0.00021301,in_cycle;repeat_route;repeat_amounts,0.1575,0.2418,0.1953,0.0333,0.1
100000004400305100,coordinator,0.5,1,0.7232,"Мост между 4 кластерами с seed (посредничество в топ-1%); получил 223 тыс ₸ от 7 плательщиков (9 переводов), отправил 5,83 млн ₸ 82 получателям (101 перевод)",45,"R1 мост: посредничество 0.0026 (топ-1%), кластеров с seed=4",distributor,not_sink,False,1.0,False,2,7,82,222800.0,5830181.0,9,101,26.1678,1.0,5607381.0,0,0,0.00038582,0.00260915,fast_transit;burst_out;in_cycle;repeat_route;repeat_amounts;anomaly;unseen_inflow,0.175,0.2492,0.199,0.0,0.1
100000004486525100,consolidator,0.682,1,0.7229,"Получает от 8 плательщиков: 361 тыс ₸, 21 перевод (в среднем 17 тыс ₸); дальше ушло 75% полученного 2 получателям; 5 плательщиков за один день (03.07)",46,R3: in_deg=8≥4,-,not_sink,False,1.0,False,2,8,2,360924.0,271045.0,21,3,0.751,0.3042,0.0,0,0,0.0008058,4.76e-06,burst_in;repeat_amounts;anomaly,0.2148,0.2225,0.1856,0.0,0.1
100000008324800100,transit,0.92,46,0.7226,"Получил 526 тыс ₸ от 3 плательщиков (17 переводов), отправил 511 тыс ₸ 1 получателю (13 переводов); дальше ушло 97%; 60% полученного ушло за ≤2 дн",47,R4: out/in=0.97∈[0.8;1.2],-,not_sink,False,1.0,False,2,3,1,526500.0,511000.0,17,13,0.9706,0.5983,0.0,0,0,0.00185178,1.922e-05,in_cycle;repeat_route;anomaly,0.1932,0.2329,0.1965,0.0,0.1
100000005933757100,coordinator,0.5,10,0.722,"Мост между 4 кластерами с seed (посредничество в топ-1%); получил 1,25 млн ₸ от 4 плательщиков (6 переводов), отправил 3,00 млн ₸ 34 получателям (46 переводов)",48,"R1 мост: посредничество 0.0039 (топ-1%), кластеров с seed=4",distributor,not_sink,False,1.0,False,2,4,34,1246000.0,3002628.0,6,46,2.4098,1.0,1756628.0,0,0,0.00099799,0.00389279,fast_transit;burst_out;in_cycle;repeat_route;anomaly;unseen_inflow,0.175,0.2477,0.1994,0.0,0.1
100000002224132100,consolidator,0.545,4,0.7216,"Получает от 5 плательщиков: 3,95 млн ₸, 10 переводов (в среднем 395 тыс ₸); отправил 4 получателям в 3,1× больше полученного (невидимые входящие)",49,R3: in_deg=5≥4,-,not_sink,False,1.0,False,2,5,4,3951020.0,12115000.0,10,25,3.0663,0.4007,8163980.0,0,0,0.00599573,6.24e-06,in_cycle;repeat_route;anomaly;unseen_inflow,0.1717,0.2499,0.2,0.0,0.1
100000007639767100,consolidator,0.5,8,0.7197,"Получает от 4 плательщиков: 91 тыс ₸, 4 перевода (в среднем 23 тыс ₸); seed среди плательщиков: 1; отправил 10 получателям в 9,0× больше полученного (невидимые входящие)",50,R3: in_deg=4≥4,distributor,not_sink,False,1.0,False,1,4,10,90913.0,822244.0,4,13,9.0443,0.4403,731331.0,1,2,0.00030144,0.00251122,in_cycle;unseen_inflow,0.1575,0.2301,0.1988,0.1,0.0333
100000003242289100,distributor,0.63,17,0.7188,"Веерная раздача: 2,38 млн ₸ 23 получателям (26 переводов, в среднем 91 тыс ₸); получил 551 тыс ₸ от 3 плательщиков",51,R2: out_deg=23≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,2,3,23,550791.0,2377741.0,8,26,4.317,0.8062,1826950.0,0,0,0.00043972,0.00100135,fast_transit;in_cycle;repeat_route;anomaly;unseen_inflow,0.1764,0.2458,0.1966,0.0,0.1
100000008710791100,distributor,0.63,2,0.7188,"Веерная раздача: 5,52 млн ₸ 23 получателям (25 переводов, в среднем 221 тыс ₸); получил 182 тыс ₸ от 3 плательщиков; 5 получателей за один день (29.07)",52,R2: out_deg=23≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,2,3,23,181510.0,5521511.0,3,25,30.4199,0.9339,5340001.0,0,0,0.00033426,0.00031461,fast_transit;burst_out;anomaly;unseen_inflow,0.1764,0.249,0.1934,0.0,0.1
100000005782781100,consolidator,0.591,7,0.7187,"Получает от 6 плательщиков: 172 тыс ₸, 10 переводов (в среднем 17 тыс ₸); отправил 10 получателям в 7,4× больше полученного (невидимые входящие); 3 плательщика за один день (10.07)",53,R3: in_deg=6≥4,distributor,not_sink,False,1.0,False,2,6,10,171888.0,1263597.0,10,10,7.3513,0.9407,1091709.0,0,0,0.00048751,0.00056832,fast_transit;burst_in;burst_out;in_cycle;unseen_inflow,0.1862,0.2374,0.1951,0.0,0.1
100000000089154100,distributor,0.55,5,0.7166,"Веерная раздача: 426 тыс ₸ 15 получателям (21 перевод, в среднем 20 тыс ₸); получил 10 тыс ₸ от 1 плательщика",54,R2: out_deg=15≥10 и ≥3×in_deg,-,not_sink,False,1.0,False,1,1,15,10000.0,425500.0,1,21,42.55,1.0,415500.0,1,2,0.00028745,0.00010895,fast_transit;in_cycle;unseen_inflow,0.154,0.2091,0.1868,0.1,0.0667
100000008461532100,transit,0.828,23,0.7124,"Получил 565 тыс ₸ от 2 плательщиков (2 перевода), отправил 2,53 млн ₸ 8 получателям (9 переводов); отправил в 4,5× больше полученного → есть невидимые входящие; 100% полученного ушло за ≤2 дн",55,R4: out/in=4.48>1.2 (невидимые входящие),-,not_sink,False,1.0,False,2,2,8,565300.0,2530090.0,2,9,4.4757,1.0,1964790.0,0,0,0.00074525,0.00027126,fast_transit;burst_out;in_cycle;unseen_inflow,0.1739,0.246,0.1925,0.0,0.1
